OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036EJ,2021-10-01T14:45:27.983808,14.65316545,.000749,74.0327,341.6988,290.0940,220.6502,0,U,33929,999,66907,.68243E-3,.3655E-4,0
COSMOS 2251 DEB,1993-036EK,2021-10-01T17:48:17.373600,14.47871701,.0027058,74.0273,144.2608,173.3211,253.3421,0,U,33930,999,66364,.51567E-3,.1892E-4,0
COSMOS 2251 DEB,1993-036EL,2021-10-01T18:04:35.616000,14.55358700,.0228661,74.0268,39.3761,152.1757,209.1863,0,U,33931,999,66658,.64577E-3,.396E-4,0
COSMOS 2251 DEB,1993-036EM,2021-10-01T16:00:36.938880,14.33217884,.0040823,74.0344,247.8321,336.8127,23.1181,0,U,33932,999,66001,.15809E-3,.412E-5,0
COSMOS 2251 DEB,1993-036EN,2021-10-01T19:27:38.038752,14.29438307,.0077267,74.0907,322.8775,3.6019,356.5670,0,U,33933,999,65856,.10189E-3,.243E-5,0
COSMOS 2251 DEB,1993-036EP,2021-10-01T20:47:07.942560,14.45749331,.0020617,74.0411,101.5085,240.6862,119.2237,0,U,33934,999,66510,.19424E-3,.663E-5,0
COSMOS 2251 DEB,1993-036EQ,2021-10-02T00:57:32.067072,14.63429196,.0038876,74.0073,276.9107,76.2152,284.3337,0,U,33935,999,67082,.47384E-3,.2448E-4,0
COSMOS 2251 DEB,1993-036ER,2021-10-01T19:20:56.089536,14.48223176,.003487,74.0227,51.5676,220.7136,139.1416,0,U,33936,999,66629,.19927E-3,.721E-5,0
COSMOS 2251 DEB,1993-036ET,2021-10-01T20:03:46.503360,14.39751627,.0019467,74.0498,168.9454,270.6315,156.5278,0,U,33938,999,66297,.12668E-3,.371E-5,0
COSMOS 2251 DEB,1993-036EU,2021-10-01T20:40:09.939360,14.46324372,.0020459,74.0260,134.3631,210.5121,149.4849,0,U,33939,999,66363,.38493E-3,.1357E-4,0
COSMOS 2251 DEB,1993-036EV,2021-10-01T21:56:33.498240,14.43684391,.0017362,74.0461,137.0297,232.5671,140.1263,0,U,33940,999,66388,.19811E-3,.647E-5,0
COSMOS 2251 DEB,1993-036EX,2021-10-01T20:58:55.235424,14.35129161,.0022378,74.0384,209.8811,308.2151,107.3652,0,U,33942,999,66127,.61246E-4,.149E-5,0
COSMOS 2251 DEB,1993-036EZ,2021-10-01T21:43:42.398976,14.33389795,.0120623,74.0406,238.0821,352.4914,76.1758,0,U,33944,999,66041,.11296E-3,.31E-5,0
